voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
pncs74pwr1,"2020-07-17 07:15:03",swzw2ts6,5,0,0,0,0,0
5wrsc1a3px,"2020-07-17 07:16:29",swzw2ts6,5,5,0,0,0,0
chwzp2n9ky,"2020-07-17 07:16:51",swzw2ts6,5,0,0,0,0,0
4zhd56why7,"2020-07-17 07:23:56",swzw2ts6,5,1,0,2,0,0
5w1r2xzh6x,"2020-07-17 07:27:54",swzw2ts6,5,0,0,2,0,0
e4t4zeezme,"2020-07-17 07:28:21",swzw2ts6,3,5,4,2,3,1
h917eedp6k,"2020-07-17 07:32:12",swzw2ts6,5,0,0,1,0,0
y3xmr3ffpp,"2020-07-17 07:39:55",swzw2ts6,5,0,0,0,0,0
d5zxnatptr,"2020-07-17 07:51:23",swzw2ts6,5,0,0,0,0,0
67yf2z4f1w,"2020-07-17 07:53:19",swzw2ts6,5,5,0,0,0,0
rs77x5d4pf,"2020-07-17 07:56:15",swzw2ts6,0,0,0,3,0,0
n1m45eatnt,"2020-07-17 08:02:56",swzw2ts6,5,0,0,0,0,0
2eyhf42dzp,"2020-07-17 08:04:08",swzw2ts6,5,0,0,0,0,0
xa76cm5ke1,"2020-07-17 08:04:45",swzw2ts6,5,0,0,0,0,0
rcpsmysdt2,"2020-07-17 08:13:40",swzw2ts6,5,0,0,0,0,0
hk2prc7zsp,"2020-07-17 08:18:50",swzw2ts6,5,0,0,0,0,0
7p2snde5wz,"2020-07-17 08:20:39",swzw2ts6,3,4,4,4,4,3
wx3xtr4kyd,"2020-07-17 08:22:11",swzw2ts6,5,0,0,0,0,0
wm1k5cwhkm,"2020-07-17 08:26:54",swzw2ts6,0,5,3,5,5,3
pa3tp7t5ty,"2020-07-17 08:27:31",swzw2ts6,5,0,0,0,0,0
kwc122arep,"2020-07-17 08:33:02",swzw2ts6,5,0,0,0,0,0
59mccd4tk2,"2020-07-17 08:36:25",swzw2ts6,5,0,0,0,0,0
57yww9zk41,"2020-07-17 08:38:25",swzw2ts6,5,0,0,0,0,0
9h1nrkyhkt,"2020-07-17 08:42:44",swzw2ts6,5,0,0,0,0,0
9f9cww1dd7,"2020-07-17 08:51:48",swzw2ts6,0,0,0,0,0,0
wpttc1ktnk,"2020-07-17 08:53:45",swzw2ts6,5,0,0,0,0,0
xfw2m51xr1,"2020-07-17 08:54:09",swzw2ts6,5,0,0,0,0,0
42rh1kf6ed,"2020-07-17 09:03:37",swzw2ts6,5,0,0,0,0,0
y26mnatsam,"2020-07-17 09:04:26",swzw2ts6,5,0,0,0,0,0
ze77w15t9e,"2020-07-17 09:08:03",swzw2ts6,5,0,0,0,0,0
7h3cxmaw62,"2020-07-17 09:08:37",swzw2ts6,5,1,0,0,0,0
5xhkm2h976,"2020-07-17 09:08:39",swzw2ts6,5,0,0,0,0,0
hdecc9z3w9,"2020-07-17 09:15:48",swzw2ts6,5,0,0,0,0,0
d4e1x3s435,"2020-07-17 09:16:59",swzw2ts6,5,0,0,0,0,0
9p6rsrmtcm,"2020-07-17 09:20:25",swzw2ts6,5,0,0,0,0,0
czp4rypt5n,"2020-07-17 09:27:13",swzw2ts6,5,0,0,0,0,0
hrxpzk12pt,"2020-07-17 09:27:44",swzw2ts6,5,0,0,0,0,0
tnzwm6tzfe,"2020-07-17 09:28:16",swzw2ts6,5,0,0,0,0,0
c72eds72a1,"2020-07-17 09:29:04",swzw2ts6,5,0,0,0,0,0
dp4n65zdaw,"2020-07-17 09:30:29",swzw2ts6,5,3,0,2,0,0
t9crzd466p,"2020-07-17 09:45:12",swzw2ts6,5,0,0,0,3,1
hyy4xk7szm,"2020-07-17 09:47:24",swzw2ts6,5,0,0,0,0,0
7hf14k79sn,"2020-07-17 09:47:27",swzw2ts6,5,0,0,0,0,0
665nfa1te2,"2020-07-17 09:47:43",swzw2ts6,5,0,0,5,0,0
6xzexzs2kx,"2020-07-17 09:50:06",swzw2ts6,3,2,1,5,0,2
wmknn1pk4z,"2020-07-17 09:50:26",swzw2ts6,5,0,0,0,0,0
7rdxxf4yst,"2020-07-17 09:52:14",swzw2ts6,4,2,3,4,0,0
pmhszxc2a9,"2020-07-17 09:53:54",swzw2ts6,5,0,0,0,0,0
mdnty7x736,"2020-07-17 10:08:29",swzw2ts6,5,0,0,0,0,0
4etkakn4k4,"2020-07-17 10:12:26",swzw2ts6,5,0,0,0,0,0
m714sxe6t9,"2020-07-17 10:12:30",swzw2ts6,5,0,0,0,0,0
